"subject_id","valid_days_count","total_days","completeness_rate"
"SH001",11,12,0.916666666666667
"SH003",12,12,1
"SH004",12,12,1
"SH005",12,12,1
"SH006",11,12,0.916666666666667
"SH007",12,12,1
"SH008",11,12,0.916666666666667
"SH009",11,12,0.916666666666667
"SH010",12,12,1
"SH011",10,12,0.833333333333333
"SH012",12,12,1
"SH013",12,12,1
"SH014",12,12,1
"SH015",8,12,0.666666666666667
"SH016",9,12,0.75
"SH018",5,12,0.416666666666667
"SH019",11,12,0.916666666666667
"SH020",9,12,0.75
"SH021",12,12,1
"SH026",12,12,1
"SH027",3,12,0.25
"SH028",1,12,0.0833333333333333
"SH032",12,12,1
"SH033",4,12,0.333333333333333
"SH034",12,12,1
"SH035",8,12,0.666666666666667
"SH036",9,12,0.75
"SH039",12,12,1
"SH040",10,12,0.833333333333333
"SH041",11,12,0.916666666666667
"SH042",12,12,1
"SH043",8,12,0.666666666666667
"SH044",11,12,0.916666666666667
"SH045",12,12,1
"SH046",1,12,0.0833333333333333
"SH047",10,12,0.833333333333333
"SH048",10,12,0.833333333333333
"SH050",1,12,0.0833333333333333
"SH053",10,12,0.833333333333333
"SH055",12,12,1
"SH058",12,12,1
"SH060",12,12,1
"SH061",12,12,1
"SH063",11,12,0.916666666666667
"SH064",11,12,0.916666666666667
"SH065",9,12,0.75
"SH067",12,12,1
"SH068",12,12,1
